05264761-6345360 81.69839 -63.76002 273.32129 -33.43850 7.625 1100 N
12223204+2953432 185.63350 29.89532 187.68895 83.07563 7.627 963 N
13054892-0801135 196.45383 -8.02041 309.09583 54.67913 7.633 1407 6
01092707+3543047 17.36280 35.71796 127.03506 -27.01013 7.640 -48 N
09471545+6754589 146.81441 67.91638 143.91449 40.90264 7.644 2 S
11592518+5057420 179.85495 50.96169 141.93951 64.20386 7.650 930 N
13532674+4016592 208.36134 40.28308 82.61056 71.63358 7.650 2325 N
12493895+1509557 192.41232 15.16549 300.85037 78.02991 7.656 1125 N
06474291-2645156 101.92880 -26.75436 236.74515 -12.60195 7.660 2037 N
12211289+1822566 185.30371 18.38240 262.85339 78.82478 7.661 900 S
00344675-0823473 8.69484 -8.39644 110.27597 -70.85769 7.665 1685 6
12482293+0829140 192.09550 8.48730 300.56897 71.34494 7.666 1009 N
01485731+0554215 27.23879 5.90598 147.88263 -54.15575 7.669 1506 N
19433447-5839207 295.89349 -58.65571 338.57999 -29.59360 7.679 2107 6
09104945-0853265 137.70609 -8.89070 238.90300 25.59076 7.687 1819 6
10433114+2455199 160.87979 24.92222 210.03999 61.25494 7.688 580 N
10213507-3416004 155.39616 -34.26680 270.79596 19.09065 7.689 2858 6
11531372+6040320 178.30719 60.67556 135.33002 55.02955 7.692 1259 N
12342712+0211163 188.61304 2.18788 292.95032 64.72986 7.692 1808 N
11583141+4356492 179.63091 43.94702 151.86484 70.08892 7.695 835 S
21033361+2953504 315.88995 29.89740 75.13431 -11.14382 7.695 779 N
12155089+4705304 183.96208 47.09179 139.89792 68.84692 7.698 1027 N
14033877-3358422 210.91154 -33.97839 319.62476 26.54189 7.705 4126 N
04035428-4320558 60.97617 -43.34885 248.66808 -48.16579 7.715 898 N
03094551-2034454 47.43964 -20.57930 208.77309 -57.80897 7.720 1651 6
12251781-3945347 186.32426 -39.75972 297.48444 22.83537 7.721 3378 6
19424057-1019255 295.66910 -10.32370 29.35105 -16.01216 7.721 1671 6
20071948-4822129 301.83115 -48.37022 350.87726 -32.21076 7.721 2720 6
03451709+7638177 56.32115 76.63830 132.50668 17.11902 7.723 2536 N
04082413-4753493 62.10057 -47.89704 255.14604 -46.70970 7.726 1212 N
07322048+8542319 113.08536 85.70886 127.70739 27.80929 7.729 1905 N
11544010-1358299 178.66710 -13.97504 282.65298 46.64924 7.730 1738 6
03040796-2604105 46.03325 -26.06963 218.54221 -60.40433 7.734 1649 6
10505331+1324437 162.72208 13.41214 232.86966 58.69993 7.736 841 N
11491320-2916360 177.30507 -29.27674 286.98184 31.66065 7.737 1684 6
13130099-1931058 198.25421 -19.51830 309.89816 43.06135 7.742 2687 6
04095185-5607063 62.46600 -56.11845 266.44821 -44.43299 7.744 764 6
11244363+3845460 171.18182 38.76278 174.71252 68.49333 7.745 2049 N
10263227-3956380 156.63451 -39.94394 274.96866 14.93236 7.748 2774 6
14535765+0332401 223.49016 3.54451 359.43176 52.42291 7.748 1677 S
04304918+6450525 67.70494 64.84792 143.68231 11.24193 7.752 -104 N
09441604-2116418 146.06685 -21.27829 255.04037 23.72256 7.754 2296 6
12365340+0714479 189.22249 7.24663 292.42090 69.82085 7.755 1730 N
12062311+5242394 181.59631 52.71095 138.07866 63.07239 7.757 846 N
03443191-4438413 56.13298 -44.64483 251.52235 -51.39397 7.765 1168 N
20181914-7051317 304.57977 -70.85881 324.12943 -32.59998 7.766 4010 N
23190480-0829065 349.77002 -8.48514 69.09946 -61.28425 7.767 2214 S
17322430+0703369 263.10126 7.06027 30.25999 20.77072 7.770 1665 N
13554002+4027423 208.91676 40.46177 82.17237 71.19601 7.773 2539 S
12265643+1502507 186.73515 15.04742 276.44699 76.64254 7.775 -261 N
07555149-5218242 118.96465 -52.30678 266.00351 -12.11442 7.781 946 6
13041709-3031347 196.07124 -30.52628 306.20370 32.26382 7.790 3197 6
13165848-1638054 199.24370 -16.63485 311.72238 45.80054 7.790 1744 6
12180830+2810310 184.53465 28.17532 202.93077 82.55359 7.792 1071 N
12564324-5020486 194.18013 -50.34687 303.79514 12.51603 7.792 2064 N
10233060+1951538 155.87753 19.86495 216.99182 55.44540 7.794 1157 N
13294883-1757593 202.45346 -17.96649 315.65427 43.95518 7.796 1501 N
12245542+1142154 186.23096 11.70427 279.67297 73.36707 7.799 943 N
13085721-1530586 197.23845 -15.51629 309.14151 47.14412 7.800 1297 6
05332175-2156447 83.34065 -21.94577 225.27501 -26.50183 7.803 -248 6
23395386-1217348 354.97446 -12.29301 70.94049 -67.61457 7.803 1766 6
11460778+4729401 176.53242 47.49450 150.71980 65.95671 7.804 906 S
11491536+5605036 177.31404 56.08435 139.79134 58.96205 7.809 1176 N
07473405-4127077 116.89188 -41.45214 255.67647 -8.05464 7.811 1131 N
13202496-2036396 200.10402 -20.61099 312.03452 41.74798 7.816 1818 6
13152396-1623079 198.84987 -16.38553 311.23398 46.09957 7.820 2782 N
00520430+4733019 13.01798 47.55051 123.04282 -15.32098 7.823 627 N
03350135-2455592 53.75563 -24.93311 218.95412 -53.34695 7.828 1405 6
14582270-0105278 224.59462 -1.09108 355.35300 48.42650 7.831 1905 6
04134070-3138434 63.41961 -31.64541 231.45996 -46.10007 7.841 1384 6
12285901+0334141 187.24588 3.57060 289.13239 65.83885 7.845 882 N
12235781+1641360 185.99094 16.69335 270.16638 77.78022 7.850 1200 N
10144211-2852194 153.67546 -28.87206 266.11938 22.57706 7.852 1082 6
03393085-1841172 54.87851 -18.68817 209.70656 -50.57322 7.858 530 6
22023982-2048461 330.66592 -20.81282 32.89153 -51.11115 7.859 2620 N
06190264+0309512 94.76109 3.16428 206.39551 -5.73996 7.860 2902 N
12580124+0134320 194.50517 1.57558 306.74118 64.39856 7.867 1108 S
08184560-2529582 124.69003 -25.49952 245.54913 5.87812 7.868 1637 N
12281542+2837130 187.06429 28.62030 195.35246 84.66504 7.873 661 N
02341338+2918404 38.55573 29.31127 148.39532 -28.42896 7.874 1543 N
12030968+4431525 180.79036 44.53126 148.88284 70.08543 7.877 700 N
03224428-3706136 50.68454 -37.10379 239.97212 -56.69323 7.882 1941 N
03194107-1924408 49.92116 -19.41136 208.16510 -55.22260 7.885 1620 6
09135049-6938420 138.46037 -69.64500 285.96088 -14.31768 7.886 1652 N
12214247+1435519 185.42699 14.59776 272.51837 75.68336 7.890 1098 S
07345116-6917029 113.71317 -69.28413 281.00021 -21.54435 7.895 1367 6
12093608+4232031 182.40031 42.53419 149.18355 72.39643 7.899 958 N
13380303-1753025 204.51266 -17.88403 318.32263 43.59031 7.899 1355 N
13575063-4355528 209.46098 -43.93130 315.37952 17.32958 7.904 2425 6
12372503+7411307 189.35431 74.19189 124.23476 42.90103 7.905 1980 N
05420477+6922421 85.51990 69.37838 143.82256 19.47229 7.907 3934 N
12273730-3920161 186.90549 -39.33781 297.92062 23.30208 7.910 2934 6
14210369+0316157 215.26534 3.27099 348.72946 57.93836 7.911 1487 N
07335622-5026345 113.48438 -50.44302 262.69495 -14.30340 7.913 1085 N
12395938+6136330 189.99742 61.60919 125.33222 55.46582 7.916 136 N
02333434-3902422 38.39312 -39.04506 248.69104 -65.63553 7.920 1933 6
12194528+1247540 184.93866 12.79833 274.01526 73.86430 7.922 1009 N
12435663+1307348 190.98599 13.12635 295.42816 75.88871 7.923 1048 S
09582458-2655356 149.60246 -26.92660 261.78064 21.80233 7.925 2580 N
04040271-5406002 61.01133 -54.10006 264.09482 -45.85108 7.929 1175 N
03195121-2603382 49.96339 -26.06059 219.69826 -56.92544 7.930 1710 N
10271836+2830267 156.82657 28.50740 201.90544 58.22060 7.930 1314 N
11323494+5304041 173.14558 53.06783 147.01469 60.21708 7.933 993 N
12125210+0117588 183.21712 1.29968 281.62024 62.56461 7.941 1256 N
11294442-3623285 172.43512 -36.39130 285.07574 23.63153 7.945 2977 6
02082114+1059415 32.08808 10.99492 151.55539 -47.55670 7.954 1735 N
10311160-4615043 157.79832 -46.25127 279.14041 10.04116 7.954 2822 6
00331212+4830314 8.30050 48.50874 119.81739 -14.25257 7.955 -193 N
07024038-2841501 105.66829 -28.69725 239.96065 -10.41048 7.955 2185 N
12355768+2757351 188.99037 27.95976 198.41927 86.47029 7.955 807 N
12320619+1110351 188.02586 11.17643 286.09946 73.41303 7.962 1342 N
03181604-6629537 49.56686 -66.49826 283.35870 -44.64297 7.965 470 N
11182527+5847104 169.60532 58.78622 143.54227 54.46190 7.965 1704 N
21441607-7506408 326.06717 -75.11132 316.43491 -36.67218 7.968 2381 N
13185480-2102207 199.72836 -21.03910 311.48669 41.37578 7.981 668 N
12362699+1126215 189.11247 11.43929 289.56033 73.92059 7.983 1142 N
12592713+1410157 194.86308 14.17105 311.53888 76.90859 7.992 1988 N
14324685+4927281 218.19521 49.45784 88.67671 60.38580 7.996 2096 S
12060116+4728420 181.50484 47.47836 143.54427 67.79122 8.003 555 S
02455992-0734431 41.49969 -7.57864 182.48102 -56.55447 8.004 1435 6
11483820+4842388 177.15913 48.71082 148.15517 65.22746 8.004 967 N
20032702-5556498 300.86264 -55.94717 341.89676 -32.12835 8.005 4434 N
04173578-6247012 64.39906 -62.78367 274.51056 -41.19824 8.007 1304 N
09423523+5851044 145.64680 58.85121 155.18993 44.66462 8.010 1337 N
12202152+0523111 185.08968 5.38640 282.75397 67.03260 8.011 2711 N
22082737+4826268 332.11414 48.44078 97.11768 -6.09086 8.014 1103 N
10470999+7250228 161.79169 72.83967 134.63356 41.34628 8.016 2837 N
15005570-0727263 225.23209 -7.45736 349.79919 43.32460 8.017 1894 6
11300745+0916358 172.53107 9.27663 252.02116 63.78552 8.018 1018 N
09161109-1618457 139.04623 -16.31273 246.20833 22.10070 8.019 2103 6
12564890-0831310 194.20375 -8.52529 305.21170 54.32260 8.024 1069 6
09232401-6348453 140.85019 -63.81256 282.27451 -9.63797 8.026 2881 C
00574891+3021083 14.45378 30.35236 124.56313 -32.49909 8.027 4942 N
13185991-4754311 199.74973 -47.90866 307.70099 14.70772 8.032 3005 6
20342056-3158512 308.58569 -31.98089 11.27139 -34.69370 8.033 2791 6
11405873+1128160 175.24477 11.47112 252.94064 67.21996 8.034 990 S
10195499+4532588 154.97913 45.54969 171.21864 54.82900 8.037 667 S
20204964-4814206 305.20682 -48.23908 351.25476 -34.43757 8.043 2958 6
07270405+8010410 111.76688 80.17807 133.95811 28.21686 8.047 2204 N
